Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BDL,"Flanigan's Enterprises, Inc",Consumer Cyclical,Restaurants,USA,57710000.0,14.25,31.05,-0.050199999999999995,2182.0
BDMD,Baird Medical Investment Holdings Limited,Healthcare,Medical Devices,China,153990000.0,,4.31,-0.0092,92311.0
BDTX,Black Diamond Therapeutics Inc,Healthcare,Biotechnology,USA,138170000.0,39.38,2.43,0.0253,1069265.0
BEAT,HeartBeam Inc,Healthcare,Health Information Services,USA,51730000.0,,1.53,-0.0192,60033.0
BEEP,Mobile Infrastructure Corp,Industrials,Infrastructure Operations,USA,162390000.0,,3.83,-0.0613,31762.0
BETR,Better Home & Finance Holding Co,Financial,Mortgage Finance,USA,212710000.0,,13.99,0.0152,106265.0
BFIN,Bankfinancial Corp,Financial,Banks - Regional,USA,144920000.0,32.61,11.63,-0.0161,23662.0
BGX,Blackstone Long-Short Credit Income Fund,Financial,Closed-End Fund - Debt,USA,155930000.0,9.51,12.27,0.0066,76246.0
BHM,Bluerock Homes Trust Inc,Real Estate,REIT - Residential,USA,50970000.0,,12.52,-0.0124,1891.0
BHR,Braemar Hotels & Resorts Inc,Real Estate,REIT - Hotel & Motel,USA,166950000.0,,2.49,-0.0158,141424.0
BHST,BioHarvest Sciences Inc,Consumer Defensive,Packaged Foods,Canada,132770000.00000001,,7.66,0.0525,6898.0
BIOA,BioAge Labs Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,160960000.0,,4.49,0.0113,147610.0
BIOX,Bioceres Crop Solutions Corp,Basic Materials,Agricultural Inputs,Argentina,280950000.0,,4.48,-0.0345,53770.0
BIRD,Allbirds Inc,Consumer Cyclical,Apparel Retail,USA,95240000.0,,11.82,0.12140000000000001,170262.0
BKHA,Black Hawk Acquisition Corp,Financial,Shell Companies,USA,94790000.0,36.39,10.61,-0.0023,208.0
BKKT,Bakkt Holdings Inc,Technology,Software - Infrastructure,USA,180710000.0,,12.99,-0.0144,200934.0
BKN,BlackRock Investment Quality Municipal Trust,Financial,Closed-End Fund - Debt,USA,186510000.0,51.62,10.84,0.006500000000000001,39092.0
BKT,BlackRock Income Trust Inc,Financial,Closed-End Fund - Debt,USA,283240000.0,83.29,11.66,0.0113,77724.0
BKTI,BK Technologies Corp,Technology,Communication Equipment,USA,157450000.0,16.67,42.86,0.0101,22747.0
BLFY,Blue Foundry Bancorp,Financial,Banks - Regional,USA,192880000.0,,8.88,-0.0078000000000000005,19204.0
BLNK,Blink Charging Co,Industrials,Engineering & Construction,USA,94590000.0,,0.92,-0.009399999999999999,1897833.0
BLUWU,Blue Water Acquisition Corp III,Financial,Shell Companies,USA,226430000.0,,10.01,0.001,1110622.0
BLZE,Backblaze Inc,Technology,Software - Infrastructure,USA,289330000.0,,5.27,-0.029500000000000002,373000.0
BMEA,Biomea Fusion Inc,Healthcare,Biotechnology,USA,98060000.0,,2.61,0.044000000000000004,959411.0
BMGL,Basel Medical Group Ltd,Healthcare,Medical Care Facilities,Singapore,88310000.0,49.68,4.7,0.1244,1454484.0
BMN,BlackRock 2037 Municipal Target Term Trust,Financial,Closed-End Fund - Debt,USA,152770000.0,38.23,24.85,0.0106,7893.0
BMR,Beamr Imaging Ltd,Technology,Software - Application,Israel,55870000.0,,3.6,-0.1198,580134.0
BNY,BlackRock New York Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,234420000.0,,9.72,0.0104,39984.0
BOOM,DMC Global Inc,Industrials,Conglomerates,USA,164740000.0,,8.04,0.0063,141945.0
BOTJ,Bank of the James Financial Group Inc,Financial,Banks - Regional,USA,64970000.0,9.85,14.3,0.0063,681.0
BPRN,Princeton Bancorp Inc,Financial,Banks - Regional,USA,208500000.0,18.33,30.09,0.0043,4952.0
BRAG,Bragg Gaming Group Inc,Consumer Cyclical,Gambling,Canada,103290000.0,,4.12,-0.023700000000000002,54985.0
BRIA,BrilliA Inc,Consumer Cyclical,Apparel Retail,Singapore,74390000.0,0.03,2.43,0.0070999999999999995,7375.0
BRID,Bridgford Foods Corp,Consumer Defensive,Packaged Foods,USA,71390000.0,,7.86,-0.0044,1081.0
BRLS,Borealis Foods Inc,Consumer Defensive,Packaged Foods,Canada,109690000.0,,5.13,-0.1521,45741.0
BRLT,Brilliant Earth Group Inc,Consumer Cyclical,Luxury Goods,USA,142010000.0,,1.43,0.006999999999999999,20100.0
BROG,Brooge Energy Limited,Energy,Oil & Gas Midstream,United Arab Emirates,239200000.0,53.94,2.67,0.0,208783.0
BRY,Berry Corp,Energy,Oil & Gas E&P,USA,227360000.0,,2.93,0.0281,941001.0
BSBK,Bogota Financial Corp,Financial,Banks - Regional,USA,96520000.0,,7.42,0.0297,2335.0
BSET,Bassett Furniture Industries Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,140050000.0,,16.09,0.0006,27439.0
BSGM,Biosig Technologies Inc,Healthcare,Medical Devices,USA,188600000.0,,6.91,0.0313,968622.0
BSII,Black Spade Acquisition II Co,Financial,Shell Companies,Hong Kong,191010000.0,1161.63,9.99,0.0,0.0
BSL,Blackstone Senior Floating Rate 2027 Term Fund,Financial,Closed-End Fund - Debt,USA,184880000.0,9.94,14.21,0.0034999999999999996,21641.0
BTA,BlackRock Long-Term Municipal Advantage Trust,Financial,Closed-End Fund - Debt,USA,121770000.0,15.62,9.06,0.0055000000000000005,22085.0
BTMD,biote Corp,Healthcare,Medical Care Facilities,USA,151270000.0,6.46,3.95,-0.0174,147931.0
BTOC,Armlogi Holding Corp,Industrials,Integrated Freight & Logistics,USA,61060000.0,,1.45,-0.0461,10784.0
BVFL,BV Financial Inc,Financial,Banks - Regional,USA,152980000.0,13.66,14.53,-0.0007000000000000001,86724.0
BW,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,110210000.0,,1.12,-0.08199999999999999,2834568.0
BWAY,Brainsway Ltd ADR,Healthcare,Medical Devices,Israel,215720000.0,57.68,11.42,-0.0264,27223.0
BWFG,Bankwell Financial Group Inc,Financial,Banks - Regional,USA,282490000.0,22.83,35.88,0.0079,10040.0
BWG,BrandywineGLOBAL - Global Income Opportunities Fund Inc,Financial,Closed-End Fund - Debt,USA,137110000.0,4.61,8.16,0.0049,58952.0
BWMX,Betterware de Mexico S.A.P.I. de C.V,Consumer Cyclical,Specialty Retail,Mexico,297040000.0,9.9,7.96,0.0063,17413.0
BYFC,Broadway Financial Corp,Financial,Banks - Regional,USA,56490000.0,,6.12,0.0104,1538.0
BYM,BlackRock Municipal Income Quality Trust,Financial,Closed-End Fund - Debt,USA,272500000.0,55.37,10.52,0.0048,90182.0
BYND,Beyond Meat Inc,Consumer Defensive,Packaged Foods,USA,250060000.0,,3.27,-0.0325,1285934.0
BYSI,BeyondSpring Inc,Healthcare,Biotechnology,USA,114090000.0,,2.83,-0.0275,178495.0
BZAI,Blaize Holdings Inc,Technology,Software - Application,USA,247090000.0,,2.43,-0.035699999999999996,146649.0
BZFD,BuzzFeed Inc,Communication Services,Internet Content & Information,USA,87070000.0,,2.26,0.013500000000000002,218085.0
BZUN,Baozun Inc ADR,Consumer Cyclical,Internet Retail,China,153090000.0,,2.87,0.0177,208213.0
CAAS,China Automotive Systems Inc,Consumer Cyclical,Auto Parts,China,132750000.0,4.61,4.4,0.0233,24991.0
CABA,Cabaletta Bio Inc,Healthcare,Biotechnology,USA,91340000.0,,1.8,0.0286,4640481.0
CADL,Candel Therapeutics Inc,Healthcare,Biotechnology,USA,268550000.0,,5.36,-0.0183,680448.0
CAF,Morgan Stanley China A Share Fund Inc,Financial,Closed-End Fund - Foreign,USA,229560000.0,12.14,13.47,-0.0059,6134.0
CAN,Canaan Inc ADR,Technology,Computer Hardware,Singapore,201250000.0,,0.7,-0.0363,51597665.0
CAPN,Cayson Acquisition Corp,Financial,Shell Companies,USA,80490000.0,87.56,10.28,0.0,11.0
CAPNU,Cayson Acquisition Corp,Financial,Shell Companies,USA,81230000.0,,10.37,0.0,0.0
CATO,Cato Corp,Consumer Cyclical,Apparel Retail,USA,66120000.00000001,,3.35,0.034,41037.0
CATX,Perspective Therapeutics Inc,Healthcare,Medical Devices,USA,239020000.0,,3.22,-0.0183,524278.0
CBAN,"Colony Bankcorp, Inc",Financial,Banks - Regional,USA,273860000.0,10.95,15.7,0.0006,35535.0
CBAT,CBAK Energy Technology Inc,Industrials,Electrical Equipment & Parts,China,110620000.0,307.5,1.23,0.1182,545713.0
CBFV,CB Financial Services Inc,Financial,Banks - Regional,USA,144060000.0,14.93,28.68,0.0046,6740.0
CBNA,Chain Bridge Bancorp Inc,Financial,Banks - Regional,USA,167130000.0,7.3,25.47,-0.0074,9681.0
CBUS,Cibus Inc,Healthcare,Biotechnology,USA,80160000.0,,1.6,0.0127,365461.0
CCCC,C4 Therapeutics Inc,Healthcare,Biotechnology,USA,115030000.0,,1.62,0.0658,1217459.0
CCCMU,Columbus Circle Capital Corp I,Financial,Shell Companies,USA,275000000.0,,11.0,0.047599999999999996,341826.0
